,vintage.id,vintage.wine.winery.seo_name,vintage.wine.winery.name,vintage.wine.name,vintage.year,vintage.statistics.ratings_average,vintage.wine.region.name,vintage.wine.region.seo_name,vintage.wine.style.region.seo_name
3,5677114,fr-cosse-maisonneuve,Cosse Maisonneuve,Le Combal Cahors,2014,3.7,Cahors,cahors,cotes-du-roussillon
4,1430230,pavie,Château Pavie,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2000,4.6,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
5,1805524,chateau-de-malle,Château de Malle,Sauternes (Grand Cru Classé),2000,4.3,Sauternes,sauternes,bordeaux
6,1247675,chateau-guiraud,Château Guiraud,Sauternes (Premier Grand Cru Classé),1997,4.3,Sauternes,sauternes,bordeaux
7,1917441,la-tour-blanche,Château La Tour Blanche,Sauternes (Premier Grand Cru Classé),1997,4.4,Sauternes,sauternes,bordeaux
8,1195493,chateau-gruaud-larose,Château Gruaud Larose,Saint-Julien (Grand Cru Classé),1999,4.3,Saint-Julien,saint-julien,bordeaux
9,1356025,chateau-rauzan-segla,Château Rauzan-Ségla,Margaux (Grand Cru Classé),2000,4.3,Margaux,margaux,bordeaux
10,1193903,chateau-rieussec,Château Rieussec,Sauternes (Premier Grand Cru Classé),2005,4.4,Sauternes,sauternes,bordeaux
11,6653,chateau-margaux,Château Margaux,Pavillon Blanc du Château Margaux,2006,4.5,Bordeaux,bordeaux,bordeaux
12,1198834,chateau-palmer,Château Palmer,Margaux (Grand Cru Classé),2006,4.5,Margaux,margaux,bordeaux
13,160496665,aix-provence,AIX,Rosé,2019,3.9,Coteaux d'Aix-en-Provence,coteaux-daix-en-provence,provence
14,1380679,chateau-rauzan-segla,Château Rauzan-Ségla,Margaux (Grand Cru Classé),2006,4.2,Margaux,margaux,bordeaux
15,145530052,fr-albert-mann,Albert Mann,Vieilles Vignes Gewürztraminer Grand Cru Furstentum,2015,4.0,Alsace Grand Cru 'Furstentum',alsace-grand-cru-furstentum,alsace
16,146751795,chateau-margaux,Château Margaux,Pavillon Blanc du Château Margaux,2016,4.4,Bordeaux,bordeaux,bordeaux
17,91068564,chateau-mouton-rothschild,Château Mouton Rothschild,Le Petit Mouton de Mouton Rothschild Pauillac,2016,4.3,Pauillac,pauillac,bordeaux
18,1260588,cheval-blanc,Château Cheval Blanc,Saint-Émilion Grand Cru (Premier Grand Cru Classé),1990,4.8,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
19,1920938,chateau-leoville-las-cases,Château Léoville Las Cases,Clos du Marquis Saint-Julien,1990,4.4,Saint-Julien,saint-julien,bordeaux
20,160054528,domaine-du-cros,Domaine du Cros,Marcillac (Cuvée Lo Sang del Païs),2018,3.7,Marcillac,marcillac,
21,156445780,chateau-suduiraut,Château Suduiraut,Blanc Sec de Suduiraut Bordeaux,2018,3.6,Bordeaux,bordeaux,bordeaux
22,1507873,yonfigeac,Château Yon-Figeac,Saint-Émilion Grand Cru (Grand Cru Classé),2009,4.1,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
23,1489635,laroze,Château Laroze,Saint-Émilion Grand Cru (Grand Cru Classé),2009,4.2,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
24,1626980,cos-d-estournel,Cos d'Estournel,Cos d'Estournel,2009,4.6,Saint-Estèphe,saint-estephe,bordeaux
0,18066005,chateau-guiraud,Château Guiraud,Sauternes (Premier Grand Cru Classé),2015,4.2,Sauternes,sauternes,bordeaux
